Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status,Min_Max_Normalization,Mean_Normalization
DCE11878,FinTech,2020,Germany,Berlin,Series B,32.33,129.42,6.85,2.55,12.2,151,0,151,Tier 2 (Mid-size VC),High,Independent,0.004109367909815071,-0.0034701595319413425
65A1258D,HealthTech,2022,UK,Oxford,Seed,1.92,32.94,1.75,0.71,2.4,52,0,52,Tier 3 (Angel/Seed),Low,Independent,0.00024404535684642554,-0.007335482084909989
B2864A7D,Robotics,2021,USA,Seattle,Series C+,74.17,661.86,69.86,2.85,25.1,263,0,263,Tier 2 (Mid-size VC),High,Independent,0.009427522977760096,0.0018479955360036812
31E237D5,FinTech,2014,USA,San Francisco,Series A,4.91,50.38,9.64,0.52,7.9,42,0,42,Tier 3 (Angel/Seed),Medium,Acquired,0.000624095157352057,-0.006955432284404358
D5F5976A,Generative AI,2017,India,Mumbai,Seed,2.96,32.14,5.34,0.26,8.2,16,8,8,Tier 2 (Mid-size VC),High,Independent,0.00037623659180490603,-0.007203290849951508
AC92B07A,Robotics,2020,China,Hangzhou,Series A,5.47,51.74,7.52,0.41,10.7,37,0,37,Tier 3 (Angel/Seed),High,Independent,0.0006952750530989311,-0.006884252388657483
0D0B58AC,HealthTech,2019,UK,London,Pre-IPO,57.15,400.35,36.49,3.01,18.4,279,0,279,Corporate VC (e.g. Google Ventures),High,Independent,0.007264162574881885,-0.00031536486687452897
C80FA4EA,HealthTech,2018,USA,Boston,Series A,114.78,392.42,18.74,4.05,27.7,292,0,292,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.014589336488975377,0.007009809047218964
EE52EAA7,Cybersecurity,2019,Germany,Munich,Series C+,25.76,225.87,16.64,1.34,17.9,93,0,93,Tier 2 (Mid-size VC),High,Independent,0.0032742752043562096,-0.004305252237400204
1936EDA8,Generative AI,2019,USA,San Francisco,Seed,2.65,26.35,4.95,0.2,8.8,16,0,16,Tier 2 (Mid-size VC),High,Independent,0.00033683343523074357,-0.007242694006525671
96C4CCA4,FinTech,2022,UK,London,Series C+,62.99,353.43,32.35,4.94,12.5,265,114,151,Corporate VC (e.g. Google Ventures),Medium,Independent,0.00800646720195643,0.0004269397602000159
A8A983FE,FinTech,2015,USA,Miami,Series A,4.26,56.56,4.0,0.21,13.7,19,6,13,Tier 2 (Mid-size VC),Low,Independent,0.0005414756355030067,-0.007038051806253408
439B6205,Generative AI,2018,USA,Boston,Pre-IPO,459.27,4002.12,512.91,11.62,39.2,710,0,710,Tier 2 (Mid-size VC),Low,Independent,0.05837641199940514,0.05079688455764872
9017993D,FinTech,2020,UK,Cambridge,Series C+,11.08,106.4,4.29,0.22,34.6,15,0,15,Tier 3 (Angel/Seed),Medium,Independent,0.0014083450801345807,-0.006171182361621834
9F956B96,Generative AI,2020,USA,Austin,Series B,53.25,356.32,19.55,3.11,16.6,220,18,202,Tier 3 (Angel/Seed),Low,Independent,0.006768445443787584,-0.0008110819979688307
E83AC299,Generative AI,2020,Israel,Tel Aviv,Series B,25.85,196.33,13.91,3.5,7.2,192,101,91,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale),0.003285714830458386,-0.004293812611298029
B01BC255,Web3/Crypto,2023,UK,London,Seed,2.52,41.59,3.53,0.66,3.3,55,44,11,Tier 3 (Angel/Seed),Low,Acquired (Fire Sale),0.0003203095308609335,-0.007259217910895481
A494656B,Web3/Crypto,2021,Israel,Jerusalem,Series B,0.0,43.6,1.83,0.21,0.0,11,0,11,Bootstrapped,High,Independent,0.0,-0.007579527441756414
30AE450D,Cybersecurity,2020,USA,San Francisco,Series A,55.35,321.29,12.16,2.57,20.7,231,0,231,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.007035370052838362,-0.0005441573889180526
AA991B19,SpaceTech,2017,USA,San Francisco,Seed,4.24,39.44,2.33,0.49,7.2,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,0.0005389334963691898,-0.007040593945387225
BD3FDF5D,Generative AI,2019,China,Hangzhou,Series A,2.46,25.46,0.86,0.31,6.0,27,0,27,Corporate VC (e.g. Google Ventures),Medium,Independent,0.0003126831134594827,-0.007266844328296932
E589D5BA,ClimateTech,2020,USA,San Francisco,Pre-IPO,0.0,11.44,0.67,0.72,0.0,41,0,41,Bootstrapped,High,Independent,0.0,-0.007579527441756414
3F8A5785,HealthTech,2021,USA,Austin,Seed,1.09,21.8,1.41,0.44,2.0,42,0,42,Tier 3 (Angel/Seed),High,Acquired,0.00013854658279302285,-0.007440980858963391
7153735A,Generative AI,2023,India,Delhi NCR,Series A,8.63,41.98,1.47,0.51,14.1,36,11,25,Tier 3 (Angel/Seed),,Closed,0.0010969330362420066,-0.006482594405514407
46A01FEE,HealthTech,2020,India,Delhi NCR,Seed,1.8,21.92,1.01,0.34,4.1,26,0,26,Tier 2 (Mid-size VC),High,Independent,0.00022879252204352396,-0.00735073491971289
BD14378D,Generative AI,2020,USA,San Francisco,Pre-IPO,432.34,3140.69,178.74,17.75,24.2,1530,0,1530,Tier 3 (Angel/Seed),Low,Acquired,0.05495342165572063,0.04737389421396422
B6A02216,Autonomous Vehicles,2012,India,Hyderabad,Post-IPO,539.67,6283.44,266.16,33.04,16.3,2857,689,2168,Tier 3 (Angel/Seed),Low,Independent,0.0685958113173492,0.06101628387559279
5954084C,Robotics,2014,China,Beijing,Series A,4.06,40.72,6.03,0.4,8.1,39,19,20,Tier 2 (Mid-size VC),High,Independent,0.0005160542441648373,-0.007063473197591577
BE74061F,ClimateTech,2016,China,Hangzhou,Series A,3.76,31.21,2.31,0.55,5.8,29,0,29,Tier 2 (Mid-size VC),High,Independent,0.00047792215715758337,-0.007101605284598831
E433B5F8,SpaceTech,2014,USA,San Francisco,Series C+,73.63,514.55,94.12,4.11,17.5,357,97,260,Tier 2 (Mid-size VC),Low,Independent,0.009358885221147037,0.0017793577793906233
9B5154C7,FinTech,2019,USA,Seattle,Seed,1.42,21.25,2.67,0.42,2.7,24,0,24,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.0001804918785010022,-0.007399035563255412
56738C23,FinTech,2018,India,Delhi NCR,Series A,20.92,111.57,4.03,2.59,7.8,162,68,94,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0026590775339725117,-0.004920449907783902
1DAC6C17,Generative AI,2020,India,Delhi NCR,Seed,1.93,28.1,1.28,0.61,2.7,40,28,12,Tier 2 (Mid-size VC),Medium,Closed,0.000245316426413334,-0.00733421101534308
B81533B6,Web3/Crypto,2020,USA,Seattle,Pre-IPO,116.2,895.08,71.9,2.67,41.9,182,68,114,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,0.01476982836747638,0.007190300925719966
5C40C7E2,Cybersecurity,2020,India,Mumbai,Seed,1.8,26.41,3.73,0.62,2.5,46,18,28,Tier 3 (Angel/Seed),,Independent,0.00022879252204352396,-0.00735073491971289
D886E70C,Web3/Crypto,2019,USA,Miami,Series A,26.13,178.5,8.16,1.2,20.1,94,53,41,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,0.003321304778331823,-0.004258222663424592
09F40238,Autonomous Vehicles,2018,Canada,Toronto,Series A,28.13,282.45,29.63,1.7,15.6,123,0,123,Corporate VC (e.g. Google Ventures),High,Independent,0.003575518691713516,-0.004004008750042898
4CC78B5F,FinTech,2023,UK,London,Series C+,354.84,3608.07,134.59,13.6,25.9,841,0,841,Tier 3 (Angel/Seed),Low,Independent,0.04510263251218002,0.037523105070423605
6783B906,Web3/Crypto,2014,India,Mumbai,Post-IPO,1540.3,5151.41,345.01,56.31,27.3,4421,2514,1907,Tier 3 (Angel/Seed),Medium,Closed,0.19578284539091106,0.18820331794915468
2069B10C,Generative AI,2023,China,Shenzhen,Seed,6.25,77.29,7.18,0.32,14.9,24,0,24,Tier 3 (Angel/Seed),High,Closed,0.0007944184793177915,-0.0067851089624386225
C245BA5C,Generative AI,2018,USA,San Francisco,Series B,53.95,186.63,16.09,7.71,6.9,401,172,229,Tier 3 (Angel/Seed),Medium,Independent,0.0068574203134711765,-0.0007221071282852376
83C88D10,Generative AI,2020,USA,New York,Series A,9.94,39.88,2.5,0.6,14.2,54,11,43,Tier 2 (Mid-size VC),,Independent,0.0012634431495070157,-0.006316084292249399
0011653A,SpaceTech,2015,USA,San Francisco,Seed,36.12,382.15,16.02,3.58,9.8,212,101,111,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.00459110327567338,-0.002988424166083034
3E6986C9,HealthTech,2014,USA,Boston,Series A,0.0,8.81,1.01,0.52,0.0,42,26,16,Bootstrapped,Low,Closed,0.0,-0.007579527441756414
72871B9E,Robotics,2019,USA,Austin,Post-IPO,972.96,6916.41,260.92,27.95,34.7,2529,502,2027,Tier 2 (Mid-size VC),High,Independent,0.12366998458192616,0.11609045714016973
068653A0,EdTech,2021,India,Hyderabad,Series A,11.69,80.77,6.86,0.71,14.4,52,0,52,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0014858803237159971,-0.0060936471180404175
15646930,HealthTech,2018,USA,Miami,Seed,2.2,35.44,2.62,0.18,7.9,10,5,5,Tier 2 (Mid-size VC),Medium,Closed,0.00027963530471986265,-0.007299892137036551
AFCBA60C,Robotics,2020,Israel,Jerusalem,Series C+,56.82,392.8,54.29,2.94,18.7,184,0,184,Corporate VC (e.g. Google Ventures),High,Closed,0.007222217279173907,-0.0003573101625825081
07A4B541,FinTech,2018,USA,New York,Series C+,28.5,238.38,8.72,1.79,15.1,90,21,69,Tier 2 (Mid-size VC),Medium,Independent,0.0036225482656891293,-0.003956979176067285
C9322C05,Generative AI,2019,Singapore,Singapore,Seed,5.66,70.98,3.64,0.4,11.3,35,0,35,Tier 3 (Angel/Seed),High,Independent,0.0007194253748701921,-0.006860102066886223
957638A8,Cybersecurity,2022,Japan,Kyoto,Seed,7.41,58.73,9.44,0.38,15.4,27,0,27,Tier 3 (Angel/Seed),High,Independent,0.0009418625490791736,-0.006637664892677241
09A10FFF,Generative AI,2022,USA,New York,Series B,0.0,36.44,3.05,0.87,0.0,44,18,26,Bootstrapped,High,Independent,0.0,-0.007579527441756414
38D03B6B,Web3/Crypto,2020,Japan,Kyoto,Seed,3.09,47.46,5.2,0.56,4.7,37,27,10,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,0.0003927604961747161,-0.007186766945581698
F655570D,Cybersecurity,2017,Canada,Montreal,Series A,1.4,28.35,1.49,0.5,2.3,32,0,32,Tier 3 (Angel/Seed),Medium,Independent,0.0001779497393671853,-0.00740157770238923
551EF6BD,Generative AI,2016,USA,Miami,Seed,0.0,16.52,2.52,0.15,0.0,11,0,11,Bootstrapped,Medium,Independent,0.0,-0.007579527441756414
1850E12C,Generative AI,2023,France,Paris,Seed,5.89,74.93,4.09,0.47,10.3,27,0,27,Tier 2 (Mid-size VC),High,Acquired,0.0007486599749090867,-0.006830867466847327
0E19EA22,Cybersecurity,2017,USA,Seattle,Seed,1.92,24.24,0.84,0.37,4.1,33,0,33,Tier 2 (Mid-size VC),High,Independent,0.00024404535684642554,-0.007335482084909989
F4885E97,ClimateTech,2021,USA,Miami,Series B,29.42,131.25,6.71,2.78,10.2,144,85,59,"Tier 1 (e.g. Sequoia, a16z)",Medium,Closed,0.0037394866658447086,-0.003840040775911706
A6C7BDC4,Cybersecurity,2019,China,Shanghai,Seed,0.89,18.27,1.9,0.8,1.0,45,0,45,Tier 3 (Angel/Seed),Low,Acquired,0.00011312519145485352,-0.007466402250301561
F4A88378,Cybersecurity,2024,USA,Seattle,Series C+,56.76,337.19,14.19,1.21,43.3,71,0,71,Tier 2 (Mid-size VC),Medium,Independent,0.007214590861772455,-0.00036493657998395925
D4AE20B8,Generative AI,2019,USA,Miami,Post-IPO,1385.92,14808.34,1553.22,64.43,21.5,3294,0,3294,Tier 3 (Angel/Seed),High,Independent,0.17616007341697817,0.1685805459752218
4FA01BF2,HealthTech,2019,Singapore,Singapore,Seed,1.45,24.74,3.5,0.9,1.4,49,0,49,Tier 3 (Angel/Seed),Medium,Independent,0.00018430508720172761,-0.007395222354554687
54993609,Generative AI,2020,Japan,Tokyo,Series A,12.52,55.48,2.53,1.21,9.6,72,0,72,Tier 3 (Angel/Seed),High,Independent,0.0015913790977694,-0.005988148343987015
03282ECC,EdTech,2023,Germany,Munich,Seed,0.34,9.12,0.32,0.32,0.8,16,0,16,Tier 3 (Angel/Seed),Low,Independent,4.321636527488786e-05,-0.007536311076481526
CC0988E7,ClimateTech,2024,China,Hangzhou,Series A,0.0,1.73,0.09,0.6,0.0,32,15,17,Bootstrapped,High,Closed,0.0,-0.007579527441756414
093BB78D,SpaceTech,2021,Israel,Jerusalem,Seed,3.39,30.1,4.78,0.4,6.8,27,0,27,Tier 3 (Angel/Seed),High,Independent,0.00043089258318197016,-0.007148634858574444
D829A13B,Generative AI,2021,USA,Miami,Series A,11.75,148.17,5.64,0.69,14.9,43,0,43,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0014935067411174481,-0.006086020700638966
AF7C535D,SpaceTech,2020,France,Paris,Seed,5.02,23.1,4.55,0.33,11.7,18,0,18,Tier 2 (Mid-size VC),Medium,Closed,0.0006380769225880501,-0.006941450519168365
2953C973,SpaceTech,2021,USA,Miami,Seed,5.18,27.92,5.32,0.39,10.6,33,11,22,Tier 3 (Angel/Seed),Medium,Independent,0.0006584140356585855,-0.0069211134060978285
A2267264,Cybersecurity,2022,Canada,Vancouver,Series B,12.39,79.9,15.85,0.67,16.1,44,16,28,Tier 3 (Angel/Seed),Medium,Independent,0.00157485519339959,-0.006004672248356825
20C6131E,ClimateTech,2019,UK,London,Seed,0.53,16.59,0.7,0.17,2.0,14,6,8,Tier 3 (Angel/Seed),,Closed,6.736668704614872e-05,-0.007512160754710265
7922EED3,Autonomous Vehicles,2020,Singapore,Singapore,Seed,2.81,39.58,2.59,0.52,4.5,40,16,24,Corporate VC (e.g. Google Ventures),High,Independent,0.0003571705483012791,-0.007222356893455135
D4968404,HealthTech,2020,Canada,Toronto,Seed,0.99,12.7,0.45,0.56,1.5,39,0,39,Tier 3 (Angel/Seed),High,Closed,0.00012583588712393817,-0.0074536915546324755
90B9E6F4,Generative AI,2020,Israel,Jerusalem,Seed,1.11,21.91,1.15,0.44,2.1,33,0,33,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.00014108872192683978,-0.007438438719829575
222DCB3F,ClimateTech,2022,UK,Cambridge,Series B,0.0,46.92,2.5,0.4,0.0,23,0,23,Bootstrapped,High,Independent,0.0,-0.007579527441756414
7F757D38,Cybersecurity,2019,Canada,Vancouver,Seed,1.36,29.07,1.2,0.18,4.9,12,0,12,Tier 3 (Angel/Seed),,Closed,0.00017286546109955144,-0.007406661980656863
79B79B1D,FinTech,2017,India,Bengaluru,Series A,13.31,135.17,9.11,0.42,25.6,41,0,41,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed,0.0016917935935551688,-0.005887733848201245
AC552CC2,Cybersecurity,2019,USA,New York,Pre-IPO,68.72,514.52,70.76,2.38,27.7,158,0,158,Tier 3 (Angel/Seed),Medium,Closed,0.00873479006379498,0.0011552626220385667
AF86A457,HealthTech,2017,UK,Oxford,Series A,7.66,61.49,2.49,1.13,6.2,59,27,32,Tier 3 (Angel/Seed),Low,Independent,0.0009736392882518852,-0.006605888153504529
DB5CCB63,FinTech,2019,USA,Miami,Series A,10.69,78.83,2.99,0.74,12.7,45,0,45,Tier 3 (Angel/Seed),Low,Acquired,0.0013587733670251505,-0.006220754074731264
7DDB907F,HealthTech,2022,Canada,Vancouver,Series A,0.0,46.06,1.55,0.81,0.0,46,0,46,Bootstrapped,Medium,Independent,0.0,-0.007579527441756414
A54E30D7,Generative AI,2020,USA,New York,Series A,28.24,303.4,10.72,1.7,15.7,101,0,101,Tier 2 (Mid-size VC),High,Independent,0.003589500456949509,-0.003990026984806905
14F6A870,Generative AI,2022,Japan,Kyoto,Post-IPO,3604.28,32720.77,3557.81,139.57,25.8,12678,0,12678,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,0.4581290618616848,0.45054953441992834
1AE5232A,Generative AI,2016,USA,Boston,Seed,2.78,31.99,1.1,0.29,7.1,16,8,8,Corporate VC (e.g. Google Ventures),High,Independent,0.0003533573396005536,-0.007226170102155861
B30DC77B,ClimateTech,2022,USA,Miami,Pre-IPO,41.7,214.09,11.3,3.35,12.1,174,55,119,Tier 2 (Mid-size VC),Low,Closed,0.005300360094008305,-0.002279167347748109
4F0F29C2,SpaceTech,2020,France,Lyon,Seed,6.26,80.07,6.02,0.2,20.9,16,0,16,Tier 3 (Angel/Seed),High,Closed,0.0007956895488847,-0.006783837892871715
BBFDBDA6,FinTech,2013,USA,New York,Seed,3.42,43.48,4.27,0.39,7.0,36,0,36,Tier 2 (Mid-size VC),High,Acquired,0.0004347057918826955,-0.007144821649873718
8AA87726,Autonomous Vehicles,2020,China,Shenzhen,Series B,7.46,99.92,3.51,0.85,7.9,49,27,22,Corporate VC (e.g. Google Ventures),High,Acquired (Fire Sale),0.0009482178969137159,-0.006631309544842698
BAA1AFA1,Robotics,2023,India,Mumbai,Seed,1.06,20.5,3.76,0.08,5.9,7,2,5,Corporate VC (e.g. Google Ventures),,Independent,0.00013473337409229745,-0.007444794067664117
35204593,HealthTech,2014,USA,New York,Series A,3.33,47.18,3.81,0.39,6.8,26,0,26,Tier 2 (Mid-size VC),Low,Independent,0.0004232661657805193,-0.0071562612759758955
4716EE73,Cybersecurity,2020,China,Shenzhen,Series B,11.1,107.8,7.28,1.02,9.9,70,0,70,Tier 2 (Mid-size VC),Medium,Independent,0.0014108872192683977,-0.006168640222488016
999380CB,Robotics,2022,India,Hyderabad,Series A,5.87,62.12,2.5,0.88,6.0,50,0,50,Corporate VC (e.g. Google Ventures),High,Independent,0.0007461178357752698,-0.006833409605981145
692490D0,Generative AI,2012,Singapore,Singapore,Seed,7.68,33.58,2.37,0.28,20.2,24,0,24,Tier 3 (Angel/Seed),High,Independent,0.0009761814273857021,-0.0066033460143707125
D6B9B71B,Robotics,2020,USA,Austin,Seed,3.98,35.66,1.35,0.27,10.8,26,0,26,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,0.0005058856876295697,-0.0070736417541268455
01D20AC5,Generative AI,2019,USA,New York,Seed,4.09,51.93,4.37,0.2,13.6,15,0,15,Tier 2 (Mid-size VC),Medium,Independent,0.0005198674528655628,-0.007059659988890851
D7F8365E,Web3/Crypto,2018,China,Shanghai,Pre-IPO,1069.52,9108.4,603.31,23.59,45.1,1657,0,1657,Tier 3 (Angel/Seed),High,Independent,0.13594343231999428,0.12836390487823787
7528DD38,Cybersecurity,2020,USA,Seattle,Series B,6.46,48.91,6.6,0.63,8.8,57,23,34,Corporate VC (e.g. Google Ventures),Medium,Closed,0.0008211109402228693,-0.006758416501533545
08DC94BD,ClimateTech,2014,USA,Boston,Post-IPO,193.32,2080.54,224.57,12.92,14.8,724,249,475,Tier 2 (Mid-size VC),High,Independent,0.02457231686747447,0.01699278942571806
706A91F7,Autonomous Vehicles,2021,USA,San Francisco,Series C+,53.02,453.73,22.88,3.58,14.4,188,0,188,Tier 3 (Angel/Seed),Medium,Closed,0.00673921084374869,-0.000840316598007725
AE13023F,Cybersecurity,2012,China,Beijing,Series A,9.5,115.39,20.72,0.91,9.4,49,0,49,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,0.001207516088563043,-0.006372011353193372
C7EA8121,Generative AI,2018,Israel,Tel Aviv,Series C+,123.93,1046.67,60.22,7.88,15.5,645,130,515,Tier 3 (Angel/Seed),Low,Independent,0.015752365142696626,0.008172837700940211
0FDAFED6,Autonomous Vehicles,2020,USA,New York,Series B,36.5,331.43,11.93,1.84,18.8,173,40,133,Tier 3 (Angel/Seed),,Independent,0.0046394039192159025,-0.002940123522540512
683CE85F,FinTech,2019,USA,Miami,Series A,6.01,76.58,3.59,0.7,7.5,38,19,19,"Tier 1 (e.g. Sequoia, a16z)",High,Acquired,0.0007639128097119883,-0.0068156146320444266
16BD2DEB,Cybersecurity,2018,UK,London,Series A,25.21,276.88,17.28,2.07,11.6,120,0,120,Tier 2 (Mid-size VC),Low,Independent,0.003204366378176244,-0.0043751610635801704
D445E1E4,Autonomous Vehicles,2021,USA,Miami,Series B,8.8,70.17,11.93,0.85,9.3,52,0,52,Tier 3 (Angel/Seed),Low,Independent,0.0011185412188794506,-0.0064609862228769644
B0454B75,SpaceTech,2023,UK,Cambridge,Series A,8.43,44.87,2.46,1.01,7.6,65,36,29,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),0.0010715116449038372,-0.006508015796852577
3DE0403F,Generative AI,2022,USA,Seattle,Series B,136.24,1383.76,89.19,10.59,12.7,590,112,478,Tier 3 (Angel/Seed),High,Closed,0.017317051779560947,0.009737524337804533
2FF85461,Robotics,2020,USA,San Francisco,Series A,16.1,162.45,9.39,1.28,11.7,74,0,74,Tier 3 (Angel/Seed),High,Independent,0.002046422002722631,-0.005533105439033783
B8C4E956,HealthTech,2022,USA,Boston,Series B,16.92,202.63,9.02,1.19,13.1,66,0,66,Tier 3 (Angel/Seed),Medium,Closed,0.0021506497072091256,-0.005428877734547289
BABEF0C3,Cybersecurity,2023,USA,Boston,Seed,3.3,36.77,3.13,0.38,6.9,23,0,23,Tier 2 (Mid-size VC),High,Independent,0.0004194529570797939,-0.007160074484676621
4B531EBD,EdTech,2019,Canada,Montreal,Series B,8.84,91.67,5.3,0.25,25.3,20,0,20,Tier 3 (Angel/Seed),High,Acquired,0.0011236254971470842,-0.00645590194460933
5C2187D9,Generative AI,2018,France,Lyon,Series B,11.91,110.58,16.12,0.93,11.6,49,0,49,Tier 3 (Angel/Seed),High,Closed,0.0015138438541879835,-0.006065683587568431
E61203D5,FinTech,2014,China,Shenzhen,Series A,13.46,112.67,17.29,0.79,15.1,48,7,41,Corporate VC (e.g. Google Ventures),,Independent,0.0017108596370587958,-0.005868667804697619
575EA69F,HealthTech,2019,China,Beijing,Seed,0.44,16.62,2.51,0.31,1.1,20,0,20,Tier 3 (Angel/Seed),Low,Independent,5.592706094397252e-05,-0.007523600380812442
4085458D,Robotics,2023,USA,Miami,Series A,6.02,53.81,3.35,0.45,10.9,33,0,33,Tier 3 (Angel/Seed),,Independent,0.0007651838792788968,-0.006814343562477518
550A115C,Generative AI,2020,India,Bengaluru,Seed,16.77,92.54,3.84,1.1,14.0,55,0,55,Tier 2 (Mid-size VC),,IPO,0.002131583663705498,-0.0054479437780509165
69784C89,SpaceTech,2020,China,Shenzhen,Seed,1.43,25.38,1.08,0.38,3.0,33,0,33,Tier 2 (Mid-size VC),Medium,Independent,0.0001817629480679107,-0.0073977644936885035
62135F3E,Web3/Crypto,2015,USA,Miami,Series A,3.24,34.28,1.23,0.41,6.4,26,22,4,Corporate VC (e.g. Google Ventures),Medium,Acquired (Fire Sale),0.00041182653967834315,-0.007167700902078071
07C4D9E1,SpaceTech,2015,USA,Austin,Series B,21.31,193.19,10.08,2.16,9.4,162,79,83,Tier 3 (Angel/Seed),Low,Independent,0.0027086492470819418,-0.004870878194674472
81A1F9FE,FinTech,2019,USA,San Francisco,Seed,0.46,10.86,0.8,0.31,1.1,27,0,27,Tier 2 (Mid-size VC),,Independent,5.846920007778946e-05,-0.007521058241678625
6C84A8CE,ClimateTech,2023,USA,Austin,Seed,0.0,39.22,2.36,0.56,0.0,47,22,25,Bootstrapped,Medium,Independent,0.0,-0.007579527441756414
8C8DA4A9,HealthTech,2019,UK,Cambridge,Series B,6.41,39.86,4.98,1.11,5.3,56,0,56,Corporate VC (e.g. Google Ventures),High,Independent,0.000814755592388327,-0.006764771849368088
